GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cardio_generator,com.cardiogenerator.outputs,WebSocketOutputStrategy,59,0,2,0,10,0,3,0,2,0
cardio_generator,com.cardiogenerator.outputs,ConsoleOutputStrategy,25,3,0,0,2,1,1,1,1,1
cardio_generator,com.cardiogenerator.outputs,TcpOutputStrategy,79,0,2,0,19,0,4,0,3,0
cardio_generator,com.cardiogenerator.outputs,WebSocketOutputStrategy.SimpleWebSocketServer,26,0,0,0,11,0,6,0,6,0
cardio_generator,com.cardiogenerator.outputs,FileOutputStrategy,101,0,0,0,17,0,3,0,3,0
cardio_generator,com.alerts.decorator,PriorityAlertDecorator,0,10,0,0,0,5,0,2,0,2
cardio_generator,com.alerts.decorator,AlertDecorator,0,16,0,0,0,5,0,2,0,2
cardio_generator,com.alerts.decorator,RepeatedAlertDecorator,0,10,0,0,0,5,0,2,0,2
cardio_generator,com.cardiogenerator.generators,BloodSaturationDataGenerator,72,0,2,0,17,0,4,0,3,0
cardio_generator,com.cardiogenerator.generators,ECGDataGenerator,111,0,2,0,21,0,5,0,4,0
cardio_generator,com.cardiogenerator.generators,AlertGenerator,74,0,8,0,19,0,7,0,3,0
cardio_generator,com.cardiogenerator.generators,BloodLevelsDataGenerator,129,0,2,0,22,0,4,0,3,0
cardio_generator,com.cardiogenerator.generators,BloodPressureDataGenerator,118,0,2,0,25,0,4,0,3,0
cardio_generator,com.Main,Main,20,0,4,0,5,0,4,0,2,0
cardio_generator,com.data_management,DataStorage,22,77,1,7,8,20,2,8,1,5
cardio_generator,com.data_management,FileReader,17,109,1,3,10,21,2,6,1,5
cardio_generator,com.data_management,WebSocketClientReader,17,99,3,5,3,32,3,7,0,6
cardio_generator,com.data_management,PatientRecord,0,27,0,0,0,10,0,5,0,5
cardio_generator,com.data_management,Patient,0,61,2,4,0,14,2,5,0,4
cardio_generator,com.alerts,HeartRateStrategy,0,16,0,0,0,6,0,2,0,2
cardio_generator,com.alerts,OxygenSaturationStrategy,0,16,0,0,0,6,0,2,0,2
cardio_generator,com.alerts,Alert,0,31,0,0,0,9,0,5,0,5
cardio_generator,com.alerts,BloodPressureStrategy,0,24,0,0,0,8,0,2,0,2
cardio_generator,com.alerts,AlertGenerator,0,720,6,96,0,167,6,59,0,14
cardio_generator,com.alerts.factory,BloodOxygenAlertFactory,0,10,0,0,0,2,0,2,0,2
cardio_generator,com.alerts.factory,BloodPressureAlertFactory,0,10,0,0,0,2,0,2,0,2
cardio_generator,com.alerts.factory,AlertFactory,0,3,0,0,0,1,0,1,0,1
cardio_generator,com.alerts.factory,ECGAlertFactory,0,10,0,0,0,2,0,2,0,2
cardio_generator,com.cardiogenerator,HealthDataSimulator,336,31,25,3,80,10,25,4,11,3
